"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","17920","Geçersiz mail, geçerli şifre bilgileri ile giriş yapamaz","","Sun Jul 27 14:56:10 TRT 2025","passed","Sun Jul 27 14:56:28 TRT 2025","","Kullanıcı Giriş İşlemi","Geçersiz mail, geçerli şifre bilgileri ile giriş yapamaz",""
"","17106","Geçerli mail ve şifre bilgileri ile başarılı giriş yapılır","","Sun Jul 27 14:53:25 TRT 2025","passed","Sun Jul 27 14:53:42 TRT 2025","","Kullanıcı Giriş İşlemi","Geçerli mail ve şifre bilgileri ile başarılı giriş yapılır",""
"","17982","Geçerli mail, geçersiz şifre bilgileri ile giriş yapamaz","","Sun Jul 27 14:55:34 TRT 2025","passed","Sun Jul 27 14:55:52 TRT 2025","","Kullanıcı Giriş İşlemi","Geçerli mail, geçersiz şifre bilgileri ile giriş yapamaz",""
"","64130","Filtreleme ile ürün seçimi yapılmalı, sepete eklenmeli ve ürün bilgileri doğrulanmalıdır","","Mon Jul 28 13:09:31 TRT 2025","passed","Mon Jul 28 13:10:35 TRT 2025","","Ürün filtreleme ve sepete ekleme işlemi","Filtreleme ile ürün seçimi yapılmalı, sepete eklenmeli ve ürün bilgileri doğrulanmalıdır",""
"","18076","Geçersiz mail, geçersiz şifre bilgileri ile giriş yapamaz","","Sun Jul 27 14:56:46 TRT 2025","passed","Sun Jul 27 14:57:04 TRT 2025","","Kullanıcı Giriş İşlemi","Geçersiz mail, geçersiz şifre bilgileri ile giriş yapamaz",""
